"","mgrade01","ssatyn01","mdcut01","rdcut01","mret02","zmscr02","zrscr02","mmscr00","mrscr00"
"28371",5,0,27,69,0,1.28171992301941,0.918376624584198,667,651
"28372",5,0,39,51,0,0.524727404117584,-0.26918289065361,659,685
"28373",5,1,-8,-39,0,-0.568706214427948,-1.20818340778351,582,581
"28374",5,1,2,36,0,-0.800009489059448,0.117464385926723,600,643
"28375",5,0,2,24,0,-1.19953334331512,-0.711065530776978,622,652
"28376",5,1,-15,15,0,-0.295347839593887,-1.12533044815063,604.656494140625,621
"28377",5,0,21,42,0,-0.232265114784241,0.780288338661194,616,658
"28378",5,0,39,57,0,0.146231129765511,0.642199993133545,654.404418945312,658.223510742188
"28379",5,0,-19,30,0,-0.169182404875755,-0.407271206378937,601.148681640625,608.532897949219
"28380",5,0,27,45,0,0.440617084503174,-0.103476919233799,648,635
"28381",5,0,52,69,0,2.14385008811951,0.780288338661194,663,659
"28382",5,0,-19,11,0,-0.715899229049683,-1.04247748851776,601.148681640625,617
"28383",5,0,49,30,0,0.440617084503174,0.117464385926723,652,643
"28384",5,0,15,45,0,-0.0430169925093651,0.227935045957565,624,618
"28385",5,0,42,15,0,0.293424099683762,-0.490124225616455,646,601
"28386",5,0,90,85,0,3.2162561416626,1.11170029640198,720,708
"28387",5,0,90,61,0,3.2162561416626,4.01155519485474,685,786
"28388",5,0,9,3,0,-0.232265114784241,-0.959624469280243,628,620
"28389",5,0,39,54,0,0.146231129765511,0.310788035392761,652,649
"28390",5,0,30,65,0,0.0831484198570251,1.11170029640198,669,670
"28391",5,0,27,65,0,0.524727404117584,1.11170029640198,658,673
"28392",5,0,2,24,0,-0.10609970241785,-0.103476919233799,610,637
"28393",5,0,30,27,0,-1.47289168834686,-0.0482415929436684,620,626
"28394",5,1,-32,-2,0,-1.8513879776001,-1.20818340778351,607,624
"28395",5,0,42,51,0,0.524727404117584,0.310788035392761,657.70458984375,660.657409667969
"28396",5,0,12,57,0,0.293424099683762,0.227935045957565,656,668
"28397",5,0,62,69,0,0.356506824493408,1.66405355930328,664,691
"28398",5,1,-8,27,0,0.0831484198570251,0.310788035392761,610,645
"28399",5,0,52,65,0,0.356506824493408,0.421258687973022,666,704
"28400",5,0,-23,54,0,-1.64111220836639,-0.0482415929436684,591,632
"28401",5,0,62,93,0,0.692947924137115,2.24402451515198,687,709
"28402",5,0,-70,24,0,-1.32569873332977,-1.12533044815063,565,567
"28403",5,0,-11,18,0,-1.09439539909363,-0.876771509647369,609.077819824219,615.099853515625
"28404",5,0,33,27,0,0.798085749149323,-0.26918289065361,659,645
"28405",5,0,30,45,0,0.0831484198570251,0.918376624584198,639,637
"28406",5,0,-8,36,0,-0.884119749069214,-0.0482415929436684,614,632
"28407",5,0,12,15,0,0.356506824493408,-0.26918289065361,633,634
"28408",5,0,68,74,0,1.07144415378571,0.918376624584198,688,750
"28409",5,1,15,-7,0,0.0831484198570251,-0.572977185249329,631.908508300781,635.6259765625
"28410",5,1,-23,-91,1,-1.32569873332977,-1.04247748851776,605,585
"28411",5,0,33,42,0,0.60883766412735,0.0346113964915276,650,658
"28412",5,0,90,69,0,0.924251198768616,0.918376624584198,661,626
"28413",5,0,39,42,0,0.524727404117584,0.310788035392761,646,640
"28414",5,0,27,61,0,-0.295347839593887,-0.490124225616455,653,650
"28415",5,1,-43,30,0,-0.800009489059448,-1.20818340778351,604,589
"28416",5,0,6,33,0,-0.484595954418182,0.227935045957565,620,644
"28417",5,0,33,69,0,0.02006571367383,0.227935045957565,658,675
"28418",5,0,-19,11,0,0.0831484198570251,-0.352035880088806,615,612
"28419",5,0,27,57,0,0.798085749149323,1.3326416015625,652,679
"28420",5,1,-105,-2,0,-1.8513879776001,-1.04247748851776,589,647
"28421",5,0,-8,36,0,-0.232265114784241,0.780288338661194,614,639
"28422",5,0,33,61,0,0.798085749149323,1.3326416015625,650,687
"28423",5,0,57,79,0,0.692947924137115,1.11170029640198,666,662
"28424",5,1,-19,21,0,-1.32569873332977,-0.26918289065361,587,593
"28425",5,0,39,33,0,0.60883766412735,0.918376624584198,648,665
"28426",5,0,39,42,0,0.692947924137115,0.531729340553284,646,650
"28427",5,1,-15,7,0,-0.295347839593887,-0.572977185249329,619,611
"28428",5,0,9,24,0,-0.358430534601212,-0.26918289065361,624,614
"28429",5,1,-1,21,0,-0.631788909435272,-0.26918289065361,607,634
"28430",5,0,15,45,0,-0.232265114784241,-0.655830204486847,623,610
"28431",5,1,-152,24,0,-1.09439539909363,-0.793918490409851,430,612
"28432",5,1,-4,3,1,-1.07336783409119,-0.15871225297451,606,608
"28433",5,1,-11,21,0,-0.295347839593887,0.227935045957565,609.077819824219,615.099853515625
"28434",5,0,57,74,0,1.57610583305359,1.3326416015625,679,669
"28435",5,1,-152,3,0,-0.884119749069214,-1.12533044815063,541.162902832031,545.602783203125
"28436",5,0,21,69,0,0.293424099683762,0.531729340553284,632,642
"28437",5,0,49,30,0,-0.358430534601212,-1.40150713920593,654,626
"28438",5,0,-11,39,0,-0.568706214427948,-0.103476919233799,614,615
"28439",5,0,21,27,0,-0.295347839593887,-0.572977185249329,619,622
"28440",5,0,6,18,0,-0.421513229608536,0.117464385926723,617,646
"28441",5,0,12,45,0,0.524727404117584,-0.103476919233799,644,637
"28442",5,1,-19,-143,0,-0.884119749069214,-0.876771509647369,584,569
"28443",5,0,6,65,0,0.146231129765511,0.780288338661194,626,692
"28444",5,1,-15,30,0,-1.32569873332977,-1.12533044815063,619,618
"28445",5,0,52,39,0,0.798085749149323,0.780288338661194,713,668
