"","learn","x","agelfted","sex","datyear"
"809",8.74006787846469,51,17,"male",84
"810",7.81092020405876,62,15,"female",84
"811",9.14420056947164,63,15,"male",84
"812",8.25611932449635,62,29,"female",84
"819",9.2103003321121,42,23,"female",84
"823",8.77955745588373,58,16,"male",84
"827",8.90868917888196,46,14,"male",84
"828",8.12839642368469,45,18,"female",84
"837",9.217141217152,44,14,"male",84
"838",8.50617272762814,47,15,"female",84
"840",8.48384321173468,50,15,"male",84
"841",8.20586305667007,54,15,"female",84
"842",8.35209211671084,37,14,"male",84
"844",9.42317818866379,53,18,"male",84
"845",9.03593455135114,51,18,"female",84
"847",9.79287324247719,53,21,"male",84
"848",8.31089691467594,58,17,"female",84
"849",9.79811596910872,61,16,"male",84
"850",8.94791528534656,60,15,"female",84
"852",8.82506607121239,56,15,"male",84
"855",8.61609687134671,50,17,"female",84
"859",8.33327035325531,50,15,"female",84
"860",9.90347358759487,43,17,"male",84
"863",9.2103003321121,53,15,"male",84
"864",8.93196950291179,54,18,"female",84
"866",9.12047688470904,54,21,"female",84
"868",8.53109609658523,44,14,"male",84
"869",7.98901789619336,55,15,"female",84
"871",9.39608274752451,61,15,"male",84
"872",7.66505966714416,62,15,"female",84
"873",9.26444969762322,49,14,"male",84
"874",8.32069157104845,48,14,"female",84
"877",8.9525691711536,62,16,"male",84
"878",8.73773492343219,65,15,"female",84
"882",8.95088549905137,56,15,"male",84
"888",8.14089846060785,53,15,"female",84
"889",9.76829540662397,46,16,"male",84
"890",8.23662178078522,47,14,"female",84
"893",2.67827807158837,52,20,"female",84
"895",9.40916825722488,53,15,"male",84
"902",8.83608901229869,55,20,"female",84
"908",6.33448670159935,56,15,"female",84
"909",8.73036721169296,60,15,"male",84
"910",7.35244110024358,61,15,"female",84
"913",6.72819791586045,47,14,"female",84
"916",9.31754675133828,65,18,"male",84
"918",10.0485312082155,59,25,"male",84
"920",8.73873546136347,53,15,"male",84
"921",4.60356886794134,49,15,"female",84
"926",8.84114160024281,52,15,"male",84
"927",6.64316456320097,54,15,"female",84
"928",9.39262188890605,61,16,"male",84
"929",6.03068526026126,65,16,"female",84
"930",8.5665622430575,37,14,"male",84
"938",8.81623645696949,62,15,"male",84
"940",7.47022413589997,63,15,"female",84
"941",8.33327035325531,42,14,"male",84
"947",7.64883509002595,39,15,"female",84
"949",9.36645480318451,56,17,"male",84
"951",8.85807283284046,62,15,"male",84
"953",7.35244110024358,39,16,"female",84
"957",9.15810347875635,61,15,"male",84
"958",7.17011954344963,63,15,"female",84
"959",7.03315366683972,54,16,"female",84
"961",8.73873546136347,63,15,"male",84
"964",7.35244110024358,36,14,"female",84
"970",8.85651849701986,47,14,"male",84
"971",7.64486187096874,48,16,"female",84
"975",7.56216163122565,38,14,"female",84
"977",6.33078980923927,39,14,"female",84
"981",9.01440817167564,46,16,"female",84
"983",9.42607411647767,64,33,"male",84
"986",9.0479956001062,62,16,"female",84
"987",8.89288614119073,52,15,"male",84
"988",8.59611528947013,52,15,"female",84
"992",8.9584732170303,53,15,"male",84
"993",8.45482408622662,50,15,"female",84
"994",8.89552554423717,56,15,"male",84
"996",9.31735987208613,55,20,"female",84
"998",10.7237060956008,46,19,"male",84
"999",8.16040398313708,52,18,"female",84
"1000",8.70483390968779,65,15,"male",84
"1005",9.54536010332932,56,23,"male",84
"1006",8.51756909731726,57,22,"female",84
"1008",8.51329762526038,61,17,"female",84
"1011",7.31300706681311,43,14,"male",84
"1016",9.1066140454772,49,15,"male",84
"1017",9.56794208359867,40,15,"male",84
"1018",9.15908922308208,40,15,"female",84
"1019",9.10193072459012,62,24,"female",84
"1020",8.4385308132016,44,15,"male",84
"1022",9.39262188890605,47,16,"male",84
"1023",9.09891255075677,54,32,"female",84
"1026",8.9751242394277,46,14,"male",84
"1027",8.29893769846982,50,14,"female",84
"1030",9.11276727237096,64,18,"male",84
"1031",8.34717331398657,62,15,"female",84
"1038",9.43935462569504,44,14,"female",84
